Data,Bitcoin,Ethereum,Dogecoin,Litecoin
08/08/2015,260.99700927734,0.75332498550,0.00015825400,3.85474991798
09/08/2015,265.08300781250,0.70189702511,0.00016176701,3.89859008789
10/08/2015,264.47000122070,0.70844799280,0.00015999300,3.94887995720
11/08/2015,270.38598632813,1.06786000729,0.00016366001,4.15955018997
12/08/2015,266.37600708008,1.21744000912,0.00016026000,3.98545002937
13/08/2015,264.07998657227,1.82766997814,0.00015630800,3.88034009933
14/08/2015,265.67999267578,1.82787001133,0.00015770701,4.02622985840
15/08/2015,261.55099487305,1.68889999390,0.00015482400,3.92546010017
16/08/2015,258.50698852539,1.56603002548,0.00014773900,3.95228004456
17/08/2015,257.97601318359,1.20360994339,0.00015013000,3.98395991325
18/08/2015,211.07899475098,1.08704996109,0.00013390700,3.46971011162
19/08/2015,226.68400573730,1.25885999203,0.00013092899,3.47781991959
20/08/2015,235.35000610352,1.46492004395,0.00013892401,3.60508990288
21/08/2015,232.56900024414,1.39529001713,0.00014480299,3.56502008438
22/08/2015,230.38999938965,1.37923002243,0.00013673199,3.51122999191
23/08/2015,228.16900634766,1.35258996487,0.00013771901,3.39446997643
24/08/2015,210.49499511719,1.23126995564,0.00012757001,2.99474000931
25/08/2015,221.60899353027,1.14019000530,0.00012866101,2.93720006943
26/08/2015,225.83099365234,1.15998005867,0.00013305699,2.94651007652
27/08/2015,224.76899719238,1.14769995213,0.00012921799,2.86605000496
28/08/2015,231.39599609375,1.19138002396,0.00013244900,2.90629005432
29/08/2015,229.77999877930,1.18254995346,0.00013103901,2.87650990486
30/08/2015,228.76100158691,1.31927001476,0.00012907900,2.84840011597
31/08/2015,230.05599975586,1.35824000835,0.00012895600,2.84207010269
01/09/2015,228.12100219727,1.35160994530,0.00012711000,2.82000994682
02/09/2015,229.28399658203,1.29479002953,0.00012610100,2.79544997215
03/09/2015,227.18299865723,1.26493000984,0.00012239300,2.63314008713
04/09/2015,230.29800415039,1.27441000938,0.00012511401,2.70111989975
05/09/2015,235.01899719238,1.33880996704,0.00012995199,2.91953992844
06/09/2015,239.83999633789,1.29583001137,0.00013200800,3.04806995392
07/09/2015,239.84700012207,1.24664998055,0.00013006000,3.04590010643
08/09/2015,243.60699462891,1.24242997169,0.00013146200,3.04737997055
09/09/2015,238.16799926758,1.20650994778,0.00012961500,2.92391991615
10/09/2015,238.47700500488,1.16577005386,0.00012853200,2.94935989380
11/09/2015,240.10699462891,0.98297798634,0.00013078999,2.95745992661
12/09/2015,235.22900390625,1.03874003887,0.00012718400,2.82555007935
13/09/2015,230.51199340820,0.93600302935,0.00012580400,2.81593990326
14/09/2015,230.64399719238,0.87562197447,0.00012483999,2.84465003014
15/09/2015,230.30400085449,0.94441002607,0.00012575400,2.82318997383
16/09/2015,229.09100341797,0.90717500448,0.00012395400,2.80297994614
17/09/2015,229.80999755859,0.87423098087,0.00012506700,2.90636992455
18/09/2015,232.97500610352,0.85368502140,0.00012652000,2.95695996284
19/09/2015,231.49299621582,0.88239097595,0.00012614600,2.87357997894
20/09/2015,231.21200561523,0.93844497204,0.00012605901,2.84644007683
21/09/2015,227.08500671387,0.91904699802,0.00012983600,2.79912996292
22/09/2015,230.61799621582,0.90179598331,0.00012598200,2.84465003014
23/09/2015,230.28300476074,0.89340597391,0.00012354500,2.86555004120
24/09/2015,234.52900695801,0.81361001730,0.00012385601,2.92998003960
25/09/2015,235.14399719238,0.73622298241,0.00012196900,2.89285993576
26/09/2015,234.33999633789,0.78596401215,0.00012325500,2.88687992096
27/09/2015,232.75700378418,0.72083902359,0.00012171400,2.87116003036
28/09/2015,239.14199829102,0.58288598061,0.00012439000,3.07279992104
29/09/2015,236.68699645996,0.66114598513,0.00012099600,2.96999001503
30/09/2015,236.05999755859,0.73864400387,0.00012313400,3.00977993011
01/10/2015,237.54899597168,0.69021499157,0.00012240000,3.00191998482
02/10/2015,237.29299926758,0.67857402563,0.00012265101,2.99320006371
03/10/2015,238.72999572754,0.68717098236,0.00012118900,3.03008008003
04/10/2015,238.25900268555,0.66837900877,0.00011843500,3.01435995102
05/10/2015,240.38299560547,0.62864297628,0.00011742800,3.01599001884
06/10/2015,246.06300354004,0.65064501762,0.00012137100,3.14593005180
07/10/2015,242.96899414063,0.60938799381,0.00012090300,3.05857992172
08/10/2015,242.30400085449,0.62171602249,0.00011922000,3.06402993202
09/10/2015,243.93099975586,0.65062797070,0.00011891500,3.10796999931
10/10/2015,244.94099426270,0.62785702944,0.00011851000,3.10598993301
11/10/2015,247.05000305176,0.63496297598,0.00012044100,3.14504003525
12/10/2015,245.30799865723,0.62603002787,0.00011896300,3.13720011711
13/10/2015,249.50799560547,0.60765498877,0.00012102700,3.17973995209
14/10/2015,251.98899841309,0.52296799421,0.00012037500,3.14418005943
15/10/2015,254.32000732422,0.56187802553,0.00011974800,3.10489010811
16/10/2015,262.86898803711,0.53649497032,0.00012077400,3.10735011101
17/10/2015,270.64001464844,0.54717797041,0.00012113900,3.07154011726
18/10/2015,261.64300537109,0.51773399115,0.00011890800,3.02278995514
19/10/2015,263.43701171875,0.48901399970,0.00011865700,3.04797005653
20/10/2015,269.46301269531,0.43482899666,0.00011849400,3.09260010719
21/10/2015,266.27200317383,0.44732901454,0.00011664100,3.07515001297
22/10/2015,274.02301025391,0.56770199537,0.00011772700,3.11465001106
23/10/2015,276.49600219727,0.53965699673,0.00011453900,3.11154007912
24/10/2015,281.65399169922,0.56358999014,0.00011405200,3.09985995293
25/10/2015,283.67999267578,0.61603897810,0.00011555300,3.06578993797
