Produttore,Vendite_NA,Vendite_EU,Vendite_JP
Gathering of Developers,0.47,0.61,0
General Entertainment,0,0,0.13
Genki,0.35,0.49,0.52
Genterprise,0,0,0.01
Ghostlight,0.46,1.22,0.89
Giga,0,0,0.02
Giza10,0,0,0.02
Glams,0,0,0.08
Global A Entertainment,0,0.13,0.01
Global Star,1.71,5.65,0
GN Software,0,0,0.05
GOA,0.02,0,0
Gotham Games,1.24,2.67,0
Graffiti,0,0.36,0
Grand Prix Games,0,0,0.06
Graphsim Entertainment,0.02,0,0
Gremlin Interactive Ltd,0.37,0.66,0
Griffin International,0,0.08,0
Groove Games,0.02,0.07,0
GSP,2.56,1.16,0
GT Interactive,8.49,17.57,0.02
GungHo,0.02,0.84,2.18
Gust,0.05,0.15,0.84
Hackberry,0,0,0.31
HAL Laboratory,0,0.06,0
Hamster Corporation,0.11,0.16,0.02
Happinet,0,0,0.18
Harmonix Music Systems,0.09,0.6,0
Hasbro Interactive,3.98,12.19,0
Havas Interactive,0.09,0.01,0
Headup Games,0.03,0,0
Hearty Robin,0,0,0.08
Hect,0,0,0.5
Hello Games,1.14,0.58,0.02
Her Interactive,0,0.03,0
Hip Interactive,0.09,0.26,0
HMH Interactive,0.11,0,0
Home Entertainment Suppliers,0.49,0.09,0
Hudson Entertainment,0.05,0.33,1.61
Hudson Soft,0.94,2.55,20.41
Human Entertainment,0.04,0.06,2.82
HuneX,0,0,0.03
Iceberg Interactive,0.05,0.02,0
id Software,0,0.02,0
Idea Factory,0.05,0.53,3.32
Idea Factory International,0.08,0.23,0.2
IE Institute,0,0,1.36
Ignition Entertainment,1.36,4.03,0.68
Illusion Softworks,0.27,0.34,0
Imadio,0,0,0.14
Image Epoch,0,0,0.1
imageepoch Inc.,0,0,0.04
Imageworks,0,0,0.02
Imagic,0.27,5.31,0
Imagineer,0.03,0.09,2.53
Imax,0,0,0.06
Indie Games,0.07,0.09,0.14
Infogrames,4.6,10.5,0.38
Insomniac Games,0,0.1,0
Interchannel,0,0,0.1
Interchannel-Holon,0,0,0.01
Intergrow,0,0,0.03
Interplay,2.27,3.86,0.01
Interplay Productions,0.04,0.05,0
"Interworks Unlimited, Inc.",0,0.01,0
Inti Creates,0,0,0.01
Introversion Software,0.01,0.01,0
inXile Entertainment,0.06,0.02,0
Irem Software Engineering,0.01,0.12,0.31
ITT Family Games,0.02,0.32,0
Ivolgamus,0,0.03,0
iWin,0.05,0,0
Jack of All Games,0.1,0.31,0
Jaleco,0.42,0.79,0.64
Jester Interactive,0.29,0.7,0
Jorudan,0,0,0.93
JoWood Productions,0.48,0.87,0.01
Just Flight,0.03,0,0
JVC,0.34,2.25,0.12
Kadokawa Games,0,0,0.58
Kadokawa Shoten,0.31,0.46,2.93
Kaga Create,0,0,0.14
Kalypso Media,1.06,1,0.09
Kamui,0,0,0.03
Kando Games,0.01,0.02,0
Karin Entertainment,0,0,0.02
Kemco,0.49,1.61,0.05
KID,0,0,0.08
Kids Station,0,0,0.03
King Records,0,0,0.02
Knowledge Adventure,0.16,1.23,0
Koch Media,1.6,2.71,0
Kokopeli Digital Studios,0.01,0.02,0
Konami Digital Entertainment,75.29,97.76,96.5
Kool Kizz,0.01,0.03,0
KSS,0,0,0.03
Laguna,0.04,0.16,1.34
Legacy Interactive,0,0.04,0
LEGO Media,0.5,1.01,0
Level 5,0.27,0.2,12.45
Lexicon Entertainment,0,0.04,0
Licensed 4U,0.06,0,0
Lighthouse Interactive,0.01,0,0
Liquid Games,0.07,0.19,0
Little Orbit,1.31,0.53,0
Locus,0,0,0.07
LSP Games,0.04,0.08,0
LucasArts,30.23,56.37,0.2
Mad Catz,0.05,0.24,0
Magical Company,0.1,0.15,0.12
Magix,0.13,0.17,0
Majesco Entertainment,2.91,12.08,0.02
Mamba Games,0.04,0,0
Marvel Entertainment,0,0,0.05
Marvelous Entertainment,0.22,0.8,1.17
Marvelous Games,0,0,0.02
Marvelous Interactive,0.17,1.61,2.22
Masque Publishing,0,0.01,0
Mastertronic,0.5,1.47,0
Mastiff,0.05,2.04,0
Mattel Interactive,0.37,3.45,0
Max Five,0.02,0.03,0
Maximum Family Games,0,0.03,0
Maxis,1.72,2.28,0
MC2 Entertainment,0.03,0.03,0
Media Entertainment,0,0,0.01
Media Factory,0,0,0.29
Media Rings,0.05,0.14,0.46
Media Works,0,0,0.18
MediaQuest,0.02,0.03,0
Men-A-Vision,0.04,1.12,0
Mentor Interactive,0,0.99,0
Mercury Games,0,0.17,0.02
Merscom LLC,0.17,0,0
Metro 3D,0.47,0.77,0.42
Michaelsoft,0,0,0.01
Micro Cabin,0,0,0.2
Microids,0.14,0.23,0
Microprose,1.59,0.7,0
Microsoft Game Studios,76.61,166.95,3.26
Midas Interactive Entertainment,0.97,1.34,0.15
Midway Games,19.58,48.66,0.12
Milestone,0,0.08,0
Milestone S.r.l,0.05,0,0
Milestone S.r.l.,0.78,0.23,0.1
Minato Station,0,0,0.05
Mindscape,2.51,5.04,0
Mirai Shounen,0,0,0.02
Misawa,0,0,0.07
Mitsui,0.02,0.06,0
"mixi, Inc",0,0,1.26
MLB.com,0,0.04,0
Mojang,1.3,1.25,0
Monte Christo Multimedia,0.04,0,0
Moss,0,0.1,0.02
MTO,0,0,0.39
MTV Games,4.41,16.58,0.01
Mud Duck Productions,0.25,0.52,0
Mumbo Jumbo,0,0.53,0
Mycom,0,0,0.02
Myelin Media,0.04,0.09,0
Mystique,0.05,1.16,0
N/A,4.68,9.74,0.93
Namco Bandai Games,44.63,75.92,136.27
Natsume,0.66,2.92,0.32
Navarre Corp,0,0.04,0
Naxat Soft,0,0,0.01
NCS,0,0,0.4
NCSoft,1.19,1.45,0
NDA Productions,0.02,0.09,0
NEC,0,0,0.43
NEC Interchannel,0,0,0.78
Neko Entertainment,0.08,0.2,0
NetRevo,0,0,0.03
New,0,0,0.33
New World Computing,0,0.01,0
NewKidCo,0.38,0.89,0
Nexon,0,0,0.03
Nichibutsu,0,0,0.28
Nihon Falcom Corporation,0.01,0.15,0.58
Nintendo,37001.92,870.47,496.22
Nippon Amuse,0,0,0.09
Nippon Columbia,0,0,0.95
Nippon Ichi Software,1.93,5.22,5.87
Nippon Telenet,0,0,0.26
Nitroplus,0,0,0.02
Nobilis,0.18,2.01,0.02
Nordcurrent,0.14,0.39,0
